Age (years),Gender,University Year,Sleep Duration (hrs),Study Hours (hrs/day),Screen Time (hrs/day),Caffeine Intake (drinks/day),Physical Activity (mins/day),Sleep Quality (1-10),Weekday Sleep Start (24h),Weekend Sleep Start (24h),Weekday Sleep End (24h),Weekend Sleep End (24h)
21,O,2,6.0,5.9,3.5,1,12,7,10.46,13.24,8.15,10.7
25,O,4,4.1,3.0,3.2,4,36,10,10.8,4.01,6.13,10.28
24,O,2,4.8,10.4,2.6,5,101,7,8.63,2.75,8.35,9.25
23,F,1,7.6,5.3,2.8,2,23,9,6.29,13.12,7.17,9.69
23,F,2,7.3,6.2,2.5,5,1,1,17.27,7.0,6.5,10.71
24,O,1,4.1,4.3,1.9,1,85,2,10.9,11.37,7.5,9.48
23,O,2,5.1,7.1,2.7,0,80,9,4.66,11.24,5.05,10.3
20,F,1,5.2,2.0,3.1,0,99,9,12.27,16.44,5.57,9.76
21,O,1,7.4,4.7,3.6,5,13,6,16.15,17.66,7.97,9.21
24,M,1,4.1,11.6,2.9,3,9,6,8.25,16.24,5.98,7.97
21,F,4,4.5,3.1,3.3,2,34,4,4.7,10.87,7.39,8.7
25,O,2,8.0,7.9,1.5,2,24,4,20.67,21.42,6.54,10.87
18,F,2,4.9,3.9,2.4,0,2,5,5.69,3.86,8.42,9.63
20,M,2,7.3,9.3,1.0,4,110,3,4.75,18.87,8.81,9.26
22,F,1,5.2,1.6,1.7,1,101,1,12.31,17.6,8.53,10.73
20,F,2,4.5,11.6,3.2,4,16,1,1.35,11.63,6.08,9.35
24,F,2,5.2,5.4,4.0,4,11,7,5.48,7.8,5.78,9.1
22,F,1,7.6,2.8,1.3,5,53,1,5.75,20.09,6.9,10.04
18,M,3,8.3,0.9,2.2,0,115,1,6.3,15.65,5.03,9.85
24,F,1,8.2,2.0,3.4,0,23,3,18.84,2.63,5.1,7.77
19,F,2,6.0,6.2,1.6,0,28,10,17.44,16.75,7.21,8.89
21,O,1,7.3,4.0,2.7,5,42,4,12.26,15.74,7.08,8.89
18,F,3,5.0,9.9,3.2,3,24,4,16.46,5.27,8.98,8.51
21,O,1,5.5,5.2,2.8,4,99,2,13.28,21.0,5.81,9.07
23,M,2,8.5,3.0,1.6,5,59,1,3.34,12.71,6.03,8.65
19,M,3,4.1,7.4,2.1,2,89,3,4.69,14.41,5.45,7.8
19,M,4,4.4,8.5,3.4,1,101,4,8.77,15.67,8.67,8.65
18,M,2,5.0,2.0,2.7,3,64,3,3.98,16.29,8.11,7.29
19,O,3,4.1,2.0,1.0,2,83,8,5.54,20.17,8.29,9.3
22,F,3,4.9,0.4,3.3,4,118,10,12.99,15.7,8.61,10.41
19,M,4,6.9,8.8,1.1,0,27,1,17.78,21.14,7.1,9.9
21,F,1,6.1,8.0,3.2,4,15,2,11.2,6.38,6.8,8.44
21,O,1,8.5,5.7,1.6,5,46,7,6.54,14.04,6.32,7.35
24,O,2,8.1,10.1,3.9,1,80,4,12.84,13.12,7.36,7.81
21,O,4,5.7,9.7,2.1,5,103,8,8.0,4.13,6.82,9.18
24,M,1,5.3,7.0,2.0,3,91,3,20.02,8.84,6.81,7.83
21,F,4,5.9,10.4,1.4,3,57,6,6.29,21.84,8.75,9.18
22,F,1,7.0,2.5,1.9,1,75,9,4.93,3.14,8.94,7.93
25,F,3,5.3,1.3,3.6,2,26,1,7.16,17.26,8.19,10.4
24,O,1,7.1,3.2,4.0,2,117,1,1.69,19.85,8.03,8.59
20,M,4,6.0,0.7,2.1,3,52,8,4.64,6.64,7.72,7.98
23,O,3,6.8,6.4,2.3,3,41,3,3.04,11.99,5.66,10.25
18,O,3,6.2,11.2,3.2,0,58,5,2.4,13.32,5.24,8.37
21,F,3,5.5,0.5,3.7,2,46,1,5.17,17.01,7.76,7.45
19,O,4,8.7,1.5,2.8,1,93,5,7.84,11.05,7.92,9.28
25,F,2,7.8,5.4,2.2,2,104,6,21.88,16.51,5.19,9.33
21,M,2,4.7,11.2,2.2,0,33,8,12.22,3.97,8.71,9.86
19,F,2,8.3,3.8,3.1,5,36,3,10.01,17.7,5.36,7.96
23,M,4,6.4,6.1,1.0,3,5,3,15.62,4.31,6.14,8.78
23,F,3,8.5,0.5,2.9,3,6,10,15.32,10.81,7.69,8.13
23,O,2,8.0,1.8,2.1,0,95,9,1.82,5.43,5.68,7.32
19,O,4,6.1,11.8,3.4,1,95,4,3.27,7.74,5.22,10.51
21,M,2,4.1,11.6,1.3,3,116,4,4.17,8.07,6.32,9.92
23,M,1,5.3,0.1,2.8,4,24,7,13.47,15.51,8.06,8.21
22,M,2,6.7,11.4,2.4,3,32,2,21.71,17.32,6.65,9.4
24,F,2,7.2,7.7,2.9,4,54,8,20.32,17.78,7.61,7.81
19,F,3,5.3,10.4,1.2,0,57,6,15.44,4.86,7.32,10.56
19,M,4,4.7,5.5,2.7,0,6,3,21.67,5.59,5.09,7.46
21,O,3,8.2,6.2,2.7,3,115,9,21.64,13.19,8.95,7.02
19,F,3,8.9,5.9,2.7,2,56,5,2.75,19.35,5.17,9.01
19,F,3,6.6,8.0,2.8,4,11,8,7.17,14.35,8.87,9.33
23,F,3,4.9,1.7,3.0,1,15,7,15.51,9.61,7.2,9.32
21,M,3,5.4,0.4,3.4,3,79,8,19.21,12.91,8.85,7.22
23,M,2,4.1,3.7,1.8,1,42,7,11.26,6.4,5.46,8.26
24,M,3,8.6,8.5,3.5,3,116,3,21.89,2.05,6.96,9.0
25,M,3,4.6,2.4,2.5,2,99,2,2.29,18.18,5.68,7.87
24,M,4,6.9,8.1,1.2,2,76,7,13.29,12.81,5.2,10.49
25,O,1,5.4,11.6,1.2,2,6,3,13.55,13.38,7.47,7.35
23,O,2,6.8,1.1,2.0,5,99,3,13.8,15.91,5.83,8.95
24,M,2,7.3,8.1,3.4,2,110,2,20.54,18.04,7.35,9.77
21,F,2,8.1,5.3,3.1,0,50,4,8.6,20.69,5.45,8.05
18,M,3,5.0,10.4,3.4,0,72,8,6.61,4.26,6.33,9.5
23,O,3,4.1,2.1,2.6,5,31,1,7.8,13.6,8.13,10.32
25,O,3,4.7,8.3,2.3,4,74,1,19.09,12.06,6.75,7.76
22,F,4,8.5,10.1,1.4,1,7,5,9.84,3.66,7.51,10.67
25,O,1,8.4,11.3,2.0,3,96,5,10.04,6.47,7.59,9.21
22,M,3,7.0,8.2,2.3,3,86,1,3.76,19.39,8.38,8.2
19,F,1,7.0,6.0,1.3,5,88,6,14.04,10.69,6.3,8.72
24,M,4,7.3,7.4,1.7,0,119,1,14.2,13.15,7.75,8.25
22,M,2,4.9,10.4,2.8,3,71,5,9.01,6.06,8.85,9.9
25,F,3,8.6,6.8,3.2,0,44,9,8.71,7.52,7.92,10.19
19,M,1,6.1,0.4,4.0,4,85,5,12.15,8.19,6.96,10.33
18,O,1,5.9,11.2,3.8,1,58,6,12.7,15.19,7.52,10.94
21,M,3,6.6,8.3,2.9,4,3,8,11.62,5.9,7.96,10.17
21,F,2,4.2,8.1,2.3,5,103,1,3.92,20.95,7.45,9.41
21,F,2,4.8,2.6,2.9,2,66,2,12.32,18.81,5.07,8.36
22,F,2,7.7,7.9,3.4,2,28,9,2.26,15.29,5.78,9.18
18,M,4,4.4,4.7,1.4,2,104,3,11.42,20.46,8.24,7.16
22,F,1,7.0,7.8,2.2,4,28,6,2.07,17.3,6.09,9.98
24,F,1,5.2,1.3,3.5,3,97,5,4.51,5.4,7.93,8.78
22,M,1,5.9,7.9,2.2,1,97,2,14.39,3.03,6.49,7.08
18,O,4,5.4,12.0,2.7,2,27,7,3.86,15.91,7.09,7.25
18,M,1,5.8,0.6,2.8,5,76,4,19.69,16.71,5.27,8.55
24,F,4,7.6,11.7,1.6,5,78,1,2.57,16.4,5.72,9.33
18,F,2,5.5,4.9,2.1,2,86,4,8.74,16.45,8.83,8.86
25,M,3,6.8,10.4,2.0,2,43,6,20.86,21.28,8.56,9.48
18,O,1,6.4,9.4,1.1,1,89,7,8.47,3.46,7.61,8.92
21,F,1,7.3,6.8,1.1,2,3,7,1.54,17.73,6.84,9.65
25,F,2,8.7,8.9,3.5,1,89,7,20.53,13.6,7.7,7.88
25,F,3,7.7,10.5,1.8,5,103,3,10.35,21.81,7.47,7.45
24,M,4,5.1,4.8,2.6,2,8,6,6.3,4.84,7.27,9.39
20,F,3,4.2,3.9,1.9,4,118,8,4.98,7.38,5.24,8.94
20,O,2,5.3,8.0,3.8,4,4,4,13.31,3.06,7.53,7.11
18,F,2,7.0,9.7,1.8,5,55,8,17.71,6.37,8.08,8.52
25,F,3,4.3,9.1,2.3,1,95,2,21.11,15.73,8.98,7.42
20,O,4,6.5,9.6,3.6,4,83,10,9.83,17.04,5.04,9.13
20,F,4,7.0,5.2,3.5,1,49,9,12.49,8.05,7.92,8.58
18,M,1,5.7,9.8,1.6,4,74,9,2.08,14.72,7.29,9.45
20,M,4,7.9,1.4,3.4,4,14,8,20.73,10.68,6.74,10.22
22,M,3,4.5,6.5,2.4,1,31,10,7.61,21.87,5.51,8.2
19,O,2,4.4,0.1,2.4,3,27,10,21.48,20.76,6.64,10.85
24,F,1,7.6,3.9,1.4,4,21,1,18.4,11.29,6.42,9.14
19,M,1,6.5,4.4,1.2,2,104,2,12.47,10.68,6.21,9.47
18,O,2,7.4,4.8,3.2,5,16,6,12.45,6.97,7.92,9.72
21,F,4,6.2,8.3,2.5,3,58,10,7.6,19.36,7.8,9.67
24,O,2,5.2,4.7,2.3,1,89,5,2.89,11.74,7.36,9.04
18,M,4,8.1,5.4,3.2,3,107,9,8.58,18.11,8.75,8.72
25,M,2,8.0,2.9,3.3,0,70,5,1.98,20.14,6.4,7.22
21,M,3,7.5,4.5,1.5,0,105,2,3.49,13.79,5.98,7.09
19,O,4,5.4,2.7,2.8,4,56,10,9.73,18.73,7.62,8.43
18,O,3,7.0,0.9,1.4,4,25,4,4.49,17.56,5.8,8.33
25,M,1,5.8,7.2,3.3,2,24,9,8.51,15.65,6.26,8.55
24,O,2,4.5,8.0,3.0,5,9,1,20.35,16.81,5.9,7.55
24,M,1,8.6,7.4,3.9,3,44,1,6.45,20.25,5.28,9.95
23,M,1,4.7,5.6,1.2,0,82,7,20.01,20.2,8.31,10.43
25,F,1,8.8,4.6,1.2,4,10,3,9.52,18.14,6.02,10.75
22,O,1,6.2,10.4,1.8,5,76,10,7.24,20.99,6.89,8.97
20,M,2,4.9,6.2,1.8,3,52,2,20.6,9.47,5.17,9.8
21,M,1,6.7,5.8,1.7,4,71,9,17.15,16.25,7.8,10.42
25,O,2,8.4,0.3,3.7,4,103,3,2.77,16.41,6.32,8.67
23,F,2,7.7,4.1,1.7,0,67,2,9.06,15.36,7.98,8.24
20,F,3,8.0,4.6,1.8,0,110,8,16.83,8.74,6.65,10.75
20,M,4,7.3,4.8,3.3,4,94,10,7.5,4.59,5.78,9.06
18,O,4,7.5,7.0,2.3,1,27,6,9.47,6.82,7.05,8.99
20,F,2,8.2,6.4,3.3,4,74,6,11.47,7.45,5.52,7.71
22,O,3,5.2,7.3,1.2,5,106,10,1.5,12.31,6.76,7.43
24,O,2,6.4,9.2,2.5,4,64,7,7.65,8.12,6.27,10.37
23,M,2,5.1,9.8,1.1,2,48,7,14.12,10.94,8.65,9.46
20,F,2,8.9,8.6,1.2,2,46,6,5.2,17.67,5.24,8.3
18,M,3,8.7,11.5,3.7,2,51,4,3.42,17.83,7.78,7.77
22,F,4,4.2,0.2,1.4,1,101,9,19.37,16.07,5.73,9.22
19,F,3,7.5,2.3,2.6,1,87,6,17.79,3.78,6.28,9.34
24,F,1,8.6,0.1,2.2,4,53,4,17.46,11.05,6.66,7.83
24,F,3,4.9,7.8,2.0,2,59,3,7.48,7.32,8.63,10.41
23,F,3,6.8,10.8,3.7,1,56,4,9.34,15.07,5.97,7.34
24,O,3,8.6,2.9,1.1,0,46,3,9.0,13.85,5.37,8.42
20,M,3,4.2,11.1,3.0,4,30,2,2.24,19.49,6.27,9.72
18,O,4,7.5,0.7,3.9,5,104,5,5.71,18.57,5.42,8.1
24,F,1,5.5,11.2,2.7,3,45,2,19.31,5.45,5.51,10.31
24,M,4,8.6,4.2,3.8,4,113,6,14.7,10.3,7.3,9.96
19,F,4,8.9,1.2,1.2,3,25,3,12.86,15.25,5.24,10.16
19,M,3,8.7,5.8,2.3,2,112,6,13.68,5.94,5.12,7.48
21,O,2,6.4,3.1,1.8,3,113,10,7.94,17.07,7.86,7.56
22,M,2,8.3,3.4,3.2,2,4,9,3.27,2.48,6.45,8.15
20,M,4,8.2,3.7,3.9,0,83,1,15.57,15.1,5.5,9.07
24,M,4,5.6,9.6,1.8,3,51,6,10.41,15.25,6.01,9.99
25,M,3,8.1,6.5,3.0,4,104,9,5.42,15.76,7.57,10.35
24,M,4,4.2,3.7,1.6,2,74,4,13.26,19.56,6.1,9.82
18,F,3,7.0,7.3,2.7,4,119,2,18.47,19.78,6.98,10.71
21,M,2,5.2,8.6,2.4,1,53,4,12.03,9.04,5.49,9.95
22,M,2,4.6,3.3,3.9,2,32,1,20.84,4.5,7.35,8.23
25,O,1,4.4,5.0,2.8,3,49,3,2.21,6.19,6.26,8.06
21,M,2,7.5,1.5,2.0,2,37,10,20.43,19.18,7.51,9.78
23,O,4,5.7,2.2,1.3,4,26,9,12.79,11.09,8.23,7.77
22,F,2,7.6,8.2,1.5,0,97,10,10.87,19.89,7.45,7.37
24,M,3,4.3,2.2,1.7,2,14,5,1.31,21.09,6.18,9.13
24,O,2,5.6,6.3,1.8,3,95,6,18.51,8.87,6.02,10.29
22,O,1,6.7,8.5,3.6,1,60,3,19.6,11.3,6.31,7.41
24,F,2,8.0,1.3,2.7,5,20,5,21.82,20.36,5.66,10.17
20,M,3,5.6,6.8,2.6,0,45,8,18.73,21.3,5.72,10.25
22,M,3,7.1,3.1,1.3,1,68,6,17.65,2.2,8.16,8.93
21,O,4,8.4,11.6,3.6,2,5,4,8.76,21.4,6.54,7.23
22,M,2,7.1,5.8,3.2,4,37,2,17.39,13.11,6.74,7.7
25,O,3,5.2,9.7,1.2,4,61,9,21.57,11.91,7.38,9.83
24,M,1,4.1,6.6,3.1,3,85,1,4.64,19.65,7.36,9.85
20,O,4,8.4,0.5,2.6,4,61,1,14.32,18.62,5.27,10.59
20,M,1,4.1,7.6,1.2,0,81,4,14.57,14.96,8.33,9.33
23,F,2,8.4,11.4,2.4,4,77,7,15.65,6.77,5.71,7.5
21,M,2,6.6,7.2,2.5,3,73,1,1.52,11.86,7.89,7.49
19,M,2,8.7,9.8,1.5,5,45,9,18.43,9.24,8.09,9.88
19,F,4,8.0,10.6,3.8,2,12,4,3.14,2.3,7.86,7.74
22,M,3,9.0,2.7,3.5,2,94,3,5.69,6.64,7.32,8.31
23,F,4,5.8,2.5,3.0,4,93,1,20.39,13.31,5.06,8.95
18,M,1,7.8,7.3,2.4,1,2,10,1.28,13.07,6.44,7.1
22,O,4,6.0,4.9,2.2,2,93,4,16.3,9.62,7.42,8.0
23,O,1,6.4,10.1,3.0,5,5,9,19.93,8.69,6.55,8.63
21,M,4,7.1,10.8,2.6,4,92,10,4.58,11.99,8.45,8.12
21,M,3,8.4,4.2,1.2,3,7,6,7.16,9.1,6.24,7.55
21,M,1,8.9,2.8,2.5,5,43,6,9.04,21.53,6.17,9.91
21,O,2,7.8,9.4,3.4,4,108,1,18.72,13.41,6.06,10.25
21,M,2,6.1,3.3,2.4,5,106,10,11.95,16.42,6.33,8.03
23,O,4,6.1,9.9,1.2,2,107,2,5.61,19.42,7.23,10.1
23,F,2,7.7,5.1,3.4,3,32,6,15.62,20.01,7.83,8.54
20,O,1,5.2,8.0,1.6,4,80,2,15.45,9.94,7.65,9.03
25,O,2,4.6,1.1,1.8,0,111,3,21.93,11.53,8.23,10.42
19,F,3,5.8,7.5,1.5,3,74,4,18.34,16.93,8.54,10.0
24,O,3,5.4,5.4,2.0,0,76,5,3.62,12.58,8.26,10.22
21,M,4,5.5,7.0,3.3,5,49,9,12.72,12.16,5.08,7.55
18,M,1,5.2,2.0,2.6,1,10,4,1.33,18.1,7.94,7.28
24,O,3,4.2,8.8,1.6,3,94,9,13.69,8.96,5.83,10.57
23,M,3,4.1,10.4,3.6,5,27,10,6.98,6.38,5.53,8.55
18,O,1,8.9,2.6,3.6,0,107,3,16.08,6.17,7.55,8.15
18,M,2,6.1,1.1,3.6,2,69,8,14.36,9.95,6.28,9.9
18,M,2,5.9,0.3,1.7,2,40,1,17.99,11.77,5.23,10.35
20,O,4,7.4,7.7,2.4,1,15,9,14.71,20.78,5.55,10.45
23,M,2,5.1,7.3,4.0,3,67,9,10.51,16.24,5.0,8.26
18,O,1,8.7,6.6,3.3,3,98,10,1.17,20.13,8.61,10.41
21,M,3,7.9,2.8,1.1,3,47,2,8.05,2.72,5.1,7.16
22,M,2,4.4,4.7,1.2,5,55,4,17.82,19.3,5.84,7.2
18,F,4,6.1,7.1,2.4,1,63,8,21.06,18.96,6.67,9.49
20,F,2,8.4,6.0,3.7,3,58,7,19.35,4.21,6.43,7.25
24,O,1,8.7,11.9,2.6,5,89,1,10.19,3.12,8.65,8.3
23,F,4,6.3,1.6,2.5,2,61,5,5.93,6.68,5.16,9.69
25,O,2,7.1,8.3,1.3,0,120,7,2.25,21.89,7.05,8.35
20,F,4,4.8,4.9,3.0,5,75,4,21.67,21.97,7.72,7.72
18,M,1,9.0,5.1,3.5,2,10,1,11.02,14.44,8.73,8.13
23,O,3,5.2,8.6,2.1,2,100,9,12.11,19.13,7.48,8.83
22,O,1,8.7,8.3,3.3,0,88,5,8.22,21.63,8.22,8.9
18,M,1,7.2,11.9,3.9,2,17,2,10.25,12.72,5.33,10.13
20,O,1,7.0,1.5,1.6,1,18,8,7.57,3.14,6.54,10.0
19,O,1,6.6,1.2,2.6,0,86,2,8.18,15.52,6.5,8.83
21,F,3,5.2,8.7,1.9,2,54,3,19.54,8.78,8.55,10.38
25,O,3,4.9,6.9,3.4,4,101,10,5.21,8.96,5.61,7.46
24,M,4,5.1,3.3,2.7,5,117,1,19.41,16.98,5.61,8.02
20,F,2,4.9,1.0,2.9,2,81,2,7.33,8.99,6.31,10.31
23,F,3,7.9,1.0,3.4,1,25,7,13.26,17.75,5.22,8.51
25,M,3,5.8,10.7,2.2,3,5,10,11.21,19.56,5.73,10.92
25,M,2,4.3,2.3,3.7,2,3,2,3.03,7.97,8.86,8.87
25,F,3,8.8,3.9,2.6,3,107,6,3.31,19.73,6.71,10.17
18,O,1,8.4,2.7,1.5,4,114,3,4.83,2.06,7.53,8.61
21,F,1,8.6,4.3,3.1,2,28,4,11.29,18.33,7.9,8.7
18,M,2,9.0,0.8,3.4,0,58,8,6.54,10.12,6.47,8.53
23,F,4,4.9,6.2,2.0,3,97,3,11.23,13.77,5.59,9.88
18,M,4,6.0,0.8,3.6,4,16,10,3.74,19.47,5.83,9.19
19,F,2,7.8,9.6,3.7,0,106,6,13.54,21.44,6.25,10.78
21,O,2,7.5,2.8,1.8,0,42,1,1.63,9.55,7.54,8.0
21,F,1,4.8,6.5,4.0,0,116,7,2.42,5.86,6.59,7.4
23,F,4,8.1,10.6,1.4,0,79,8,6.43,5.16,5.03,8.57
24,M,3,5.1,7.8,1.6,2,65,8,16.13,12.35,7.09,9.47
19,M,1,5.1,6.4,1.6,5,33,3,19.24,6.45,8.69,10.44
20,M,2,6.7,3.9,3.7,2,118,10,4.05,8.54,8.25,8.38
18,F,4,7.0,4.0,3.0,2,7,1,18.53,7.51,8.3,9.62
22,O,3,6.9,8.0,1.5,4,12,9,4.06,12.15,8.18,8.4
18,M,3,4.5,11.9,2.3,4,105,6,11.69,9.33,6.29,9.47
25,M,1,8.4,7.9,2.8,5,7,9,13.46,5.89,8.06,10.54
18,F,4,5.3,6.7,1.3,4,93,7,3.03,14.04,5.57,7.93
20,M,4,4.6,8.8,3.6,1,95,1,9.32,5.88,7.63,8.62
18,O,2,8.4,5.6,3.4,5,99,1,9.89,10.16,7.57,10.97
19,O,4,8.8,0.7,2.5,4,110,6,10.27,18.68,5.1,10.47
19,M,4,8.3,6.7,3.9,5,93,5,14.21,21.51,8.15,9.26
21,M,1,8.0,11.5,2.3,2,64,9,5.5,14.74,8.61,9.07
23,F,4,7.3,2.1,4.0,2,42,2,16.69,11.07,6.07,8.14
24,O,3,6.8,8.3,3.0,5,38,8,2.28,5.2,8.25,9.07
22,O,1,4.4,2.4,2.9,1,80,5,3.23,19.45,5.33,10.39
25,M,1,6.0,6.4,1.5,1,58,2,14.91,6.0,7.4,9.74
18,F,2,5.9,1.2,3.6,5,83,10,6.68,4.74,6.94,8.16
18,O,4,5.3,5.4,2.3,4,87,6,9.96,18.99,7.18,7.81
20,O,2,7.6,9.1,1.5,3,113,10,14.91,4.97,8.7,8.06
23,F,3,6.5,4.2,1.0,1,85,8,1.24,2.17,8.49,7.68
19,F,1,4.4,8.0,2.7,0,92,4,21.47,7.46,8.14,7.38
22,O,1,5.1,9.5,2.6,2,85,2,16.69,6.3,6.09,8.68
21,O,1,7.4,11.1,3.2,5,43,5,11.08,2.11,8.65,7.45
19,F,3,4.4,2.8,3.7,0,8,2,11.04,9.89,5.39,7.69
25,O,3,8.3,4.8,1.2,5,36,2,9.63,15.84,8.41,9.19
23,M,2,6.5,1.8,3.2,2,73,6,6.21,5.25,6.31,7.66
25,M,2,6.4,11.9,1.6,2,35,10,8.91,9.71,5.22,7.26
24,F,2,7.0,11.1,3.6,1,100,9,9.39,10.38,7.68,8.27
21,F,4,8.1,6.5,3.5,1,91,4,20.88,16.93,5.93,7.88
24,F,1,5.7,10.1,2.6,0,27,6,14.09,6.87,5.97,9.06
20,M,1,7.4,6.3,3.1,5,41,7,17.13,20.37,6.22,7.41
25,O,2,6.8,7.5,1.9,2,42,6,16.43,3.51,5.25,10.01
20,M,1,5.3,1.1,2.4,0,84,8,10.36,15.48,5.71,10.62
18,O,2,8.4,9.1,3.5,3,87,4,17.81,19.44,5.02,9.97
24,M,4,8.0,1.5,2.4,0,41,1,15.83,13.15,6.78,9.13
23,O,4,7.3,9.9,2.1,4,103,7,17.02,21.15,5.34,10.44
25,M,3,8.3,9.4,2.5,0,65,3,2.08,8.31,7.73,9.78
22,F,4,8.3,8.5,3.5,4,54,6,2.16,3.95,5.94,7.04
21,M,2,7.5,0.4,2.0,4,71,2,9.19,5.25,8.77,8.58
19,O,4,8.2,3.6,1.5,4,47,9,2.59,19.45,8.49,10.4
23,M,3,7.5,3.2,3.1,3,90,1,5.5,19.47,6.16,8.38
23,M,1,7.4,4.3,3.5,0,21,6,9.61,5.73,8.13,7.14
20,M,2,7.1,1.1,1.3,0,100,6,21.86,3.51,8.21,9.98
24,F,1,7.8,11.2,1.7,3,26,5,5.78,12.79,8.95,10.21
25,M,3,4.8,6.6,1.4,2,120,5,7.25,12.02,7.39,7.64
25,F,3,8.4,3.7,2.0,1,92,1,9.08,15.63,5.33,9.15
18,F,3,8.4,4.8,2.4,0,66,10,6.03,4.11,7.59,7.77
18,M,1,4.1,5.4,3.2,1,107,5,11.23,9.1,7.5,9.88
21,M,1,8.1,7.2,3.0,5,12,2,7.21,16.23,7.55,8.09
20,M,1,4.6,6.2,2.9,5,44,7,2.36,16.02,6.23,8.26
23,O,1,5.7,11.0,2.1,3,9,3,14.11,4.18,8.44,10.38
25,M,3,7.7,6.0,3.5,5,99,4,7.13,21.73,8.84,8.91
22,F,3,4.8,11.9,2.4,5,8,3,12.01,15.55,5.87,9.68
20,M,2,8.1,10.2,3.9,2,53,3,7.84,10.91,5.35,8.61
21,O,2,8.2,2.5,2.9,2,119,4,5.98,19.04,5.78,8.19
21,M,1,6.5,11.2,1.4,2,118,5,21.05,20.16,8.28,9.5
20,O,4,4.0,1.4,3.0,5,26,1,8.42,5.69,7.71,7.62
21,O,4,5.4,9.8,2.0,3,33,4,17.24,4.11,7.54,8.49
